epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9764,1.0271,1.37441,1.16709,0.58434,0.46636,0.44146,0.25084,1.71135,2.2134,1.34269,0.000276271,0.000276271,0.000276271
2,161.632,1.09429,1.02327,1.20423,0.67842,0.26836,0.31246,0.14811,1.7416,1.82018,1.27117,0.000551196,0.000551196,0.000551196
3,228.754,1.09948,0.99258,1.22335,0.5732,0.45611,0.45643,0.24334,1.63472,1.29959,1.22023,0.000823372,0.000823372,0.000823372
4,296.273,1.04006,0.8763,1.17853,0.46482,0.51096,0.49047,0.27008,1.53219,1.39519,1.15539,0.00082063,0.00082063,0.00082063
5,364.523,0.98895,0.80959,1.14151,0.51788,0.51032,0.51538,0.28466,1.46405,1.10232,1.13316,0.000816507,0.000816507,0.000816507
6,430.611,0.96912,0.77201,1.14504,0.47752,0.56626,0.52533,0.26426,1.49349,1.02231,1.16983,0.000812383,0.000812383,0.000812383
7,498.389,0.92373,0.71655,1.12286,0.5583,0.59473,0.58646,0.33488,1.50335,1.09085,1.15479,0.00080826,0.00080826,0.00080826
8,564.698,0.89059,0.67504,1.09863,0.63925,0.62133,0.5813,0.31086,1.43128,1.17251,1.28723,0.000804137,0.000804137,0.000804137
9,632.483,0.85081,0.65558,1.08475,0.68542,0.63335,0.6528,0.37182,1.28188,0.7995,1.04838,0.000800013,0.000800013,0.000800013
10,699.411,0.83204,0.61339,1.07546,0.75837,0.6001,0.68643,0.39565,1.28251,0.78725,1.03131,0.00079589,0.00079589,0.00079589
11,766.547,0.8144,0.59194,1.05939,0.77377,0.64487,0.70082,0.39344,1.37945,0.80782,1.05177,0.000791767,0.000791767,0.000791767
12,833.768,0.80237,0.57054,1.05881,0.75482,0.60256,0.69408,0.41731,1.20746,0.76135,1.00754,0.000787643,0.000787643,0.000787643
13,899.358,0.76788,0.56125,1.03112,0.83321,0.66672,0.74413,0.46006,1.16755,0.7448,1.02013,0.00078352,0.00078352,0.00078352
14,967.04,0.76258,0.55857,1.03535,0.74878,0.6355,0.66858,0.39397,1.25594,0.74567,1.03113,0.000779396,0.000779396,0.000779396
15,1034.56,0.74695,0.53069,1.0202,0.80411,0.63595,0.69022,0.41221,1.27633,0.72828,1.02097,0.000775273,0.000775273,0.000775273
16,1102.37,0.74253,0.53023,1.0243,0.72515,0.65666,0.68145,0.40095,1.21787,0.73794,0.99385,0.00077115,0.00077115,0.00077115
17,1168.24,0.72803,0.51551,1.02488,0.77238,0.61891,0.6811,0.42098,1.17562,0.65275,1.01652,0.000767026,0.000767026,0.000767026
18,1234.92,0.72443,0.51712,1.0149,0.86289,0.59743,0.70348,0.43778,1.18399,0.70743,1.00335,0.000762903,0.000762903,0.000762903
19,1302.47,0.7029,0.48979,1.00762,0.82507,0.64247,0.7078,0.42766,1.17788,0.70331,1.02312,0.00075878,0.00075878,0.00075878
20,1369.13,0.70868,0.49217,1.0013,0.77596,0.66496,0.69158,0.43057,1.18512,0.66989,1.0206,0.000754656,0.000754656,0.000754656
21,1437.11,0.69468,0.48043,1.00083,0.74432,0.6126,0.68909,0.42257,1.19851,0.68772,1.00074,0.000750533,0.000750533,0.000750533
22,1502.71,0.66883,0.46573,0.99231,0.84469,0.6763,0.73644,0.46156,1.09028,0.63811,0.98791,0.00074641,0.00074641,0.00074641
23,1570.38,0.67665,0.46577,0.99503,0.83219,0.67566,0.72488,0.45372,1.17994,0.63651,1.00661,0.000742286,0.000742286,0.000742286
24,1636.54,0.67497,0.46832,0.98915,0.77063,0.70406,0.73488,0.47216,1.06541,0.61574,0.99277,0.000738163,0.000738163,0.000738163
25,1703.87,0.65376,0.45217,0.98151,0.80276,0.67368,0.73201,0.47337,1.12346,0.62295,1.00218,0.00073404,0.00073404,0.00073404
26,1771.23,0.65465,0.449,0.97555,0.81306,0.69406,0.73466,0.45594,1.10912,0.6343,1.00498,0.000729916,0.000729916,0.000729916
27,1836.92,0.63757,0.43541,0.9751,0.83708,0.67172,0.72595,0.45109,1.13951,0.6509,0.99829,0.000725793,0.000725793,0.000725793
28,1903.62,0.65347,0.43392,0.97399,0.87382,0.59247,0.69419,0.43318,1.16442,0.6735,1.01151,0.00072167,0.00072167,0.00072167
29,1967.63,0.62114,0.42436,0.96569,0.81426,0.66197,0.7104,0.46063,1.06986,0.62767,0.98203,0.000717546,0.000717546,0.000717546
30,2025.08,0.61549,0.42309,0.9602,0.73202,0.67387,0.69694,0.44241,1.11738,0.61855,1.0047,0.000713423,0.000713423,0.000713423
31,2085.82,0.6251,0.42686,0.96534,0.82132,0.6762,0.73159,0.46799,1.11246,0.61075,1.00079,0.000709299,0.000709299,0.000709299
32,2151.18,0.61012,0.41558,0.96193,0.79311,0.67058,0.70456,0.46462,1.08955,0.62358,1.00217,0.000705176,0.000705176,0.000705176
33,2216.88,0.61171,0.41702,0.9624,0.81755,0.6493,0.71931,0.46756,1.08752,0.61845,0.99242,0.000701053,0.000701053,0.000701053
34,2281,0.60028,0.41234,0.95848,0.7268,0.6959,0.70313,0.4645,1.08356,0.59128,0.97542,0.000696929,0.000696929,0.000696929
35,2346.93,0.60486,0.40633,0.96202,0.81517,0.74327,0.76045,0.48943,1.08778,0.59215,0.9856,0.000692806,0.000692806,0.000692806
36,2410.23,0.58832,0.39272,0.95393,0.87365,0.6223,0.71912,0.45221,1.0835,0.61769,0.97452,0.000688683,0.000688683,0.000688683
37,2473.43,0.58838,0.39609,0.95586,0.83267,0.67188,0.74714,0.48404,1.08446,0.62095,0.97641,0.000684559,0.000684559,0.000684559
38,2536.84,0.58508,0.39135,0.95947,0.76502,0.65344,0.71925,0.45801,1.04621,0.61297,0.98363,0.000680436,0.000680436,0.000680436
39,2599.58,0.57881,0.38832,0.94615,0.87404,0.64346,0.74407,0.47617,1.10927,0.6149,0.99223,0.000676313,0.000676313,0.000676313
40,2665.67,0.57697,0.38595,0.94678,0.80657,0.66556,0.71445,0.45512,1.10238,0.63607,0.98434,0.000672189,0.000672189,0.000672189
41,2730.43,0.56296,0.37807,0.9466,0.84735,0.63885,0.70319,0.45056,1.08182,0.59959,1.02029,0.000668066,0.000668066,0.000668066
42,2795.78,0.58117,0.38033,0.94362,0.85804,0.67946,0.74951,0.47429,1.0626,0.58106,0.97964,0.000663943,0.000663943,0.000663943
43,2857.59,0.55595,0.37177,0.94537,0.83756,0.66542,0.75419,0.49718,1.04122,0.57842,0.98703,0.000659819,0.000659819,0.000659819
44,2918.96,0.57007,0.37685,0.94473,0.85031,0.6934,0.75516,0.48296,1.06567,0.58673,0.98638,0.000655696,0.000655696,0.000655696
45,2986.59,0.56784,0.37603,0.94361,0.87296,0.66883,0.7318,0.46649,1.09318,0.62867,0.98468,0.000651573,0.000651573,0.000651573
46,3053.17,0.54793,0.36796,0.94031,0.75648,0.71441,0.73898,0.4726,1.04515,0.59896,0.98859,0.000647449,0.000647449,0.000647449
47,3119.88,0.54998,0.36084,0.93325,0.78553,0.70768,0.74659,0.47583,1.06017,0.56059,1.02078,0.000643326,0.000643326,0.000643326
48,3187.93,0.54523,0.35888,0.93413,0.84464,0.69282,0.76606,0.48718,1.07482,0.57121,0.98532,0.000639203,0.000639203,0.000639203
49,3254.48,0.54735,0.36041,0.9377,0.81605,0.68472,0.7496,0.48485,1.05347,0.57423,1.00186,0.000635079,0.000635079,0.000635079
50,3322.59,0.53649,0.357,0.9335,0.85017,0.67563,0.74636,0.50168,1.04514,0.57895,0.98885,0.000630956,0.000630956,0.000630956
51,3388.05,0.53848,0.36276,0.93643,0.81552,0.72226,0.77526,0.5013,1.00545,0.54711,0.97232,0.000626832,0.000626832,0.000626832
52,3454.2,0.53664,0.36032,0.93394,0.82698,0.7089,0.76243,0.49989,1.0564,0.59199,0.97784,0.000622709,0.000622709,0.000622709
53,3518.64,0.52274,0.34709,0.92407,0.84012,0.68172,0.75321,0.49303,1.00314,0.57377,0.96214,0.000618586,0.000618586,0.000618586
54,3584.51,0.52123,0.34443,0.9259,0.85382,0.66449,0.73664,0.48338,1.04532,0.57619,0.97623,0.000614462,0.000614462,0.000614462
55,3652.01,0.52571,0.34315,0.9213,0.85962,0.6903,0.75603,0.49757,1.06196,0.58447,1.00287,0.000610339,0.000610339,0.000610339
56,3719.14,0.51749,0.34085,0.92768,0.8262,0.675,0.76985,0.50848,1.01691,0.54773,1.00757,0.000606216,0.000606216,0.000606216
57,3786.99,0.51253,0.3387,0.92274,0.85799,0.68969,0.76244,0.5047,0.9985,0.55792,0.97069,0.000602092,0.000602092,0.000602092
58,3852.77,0.50234,0.32958,0.92221,0.86693,0.67454,0.73702,0.492,1.0001,0.58337,0.97517,0.000597969,0.000597969,0.000597969
59,3920.38,0.50879,0.33743,0.92249,0.79339,0.66711,0.72795,0.4725,1.04754,0.57252,0.99323,0.000593846,0.000593846,0.000593846
60,3987.75,0.50742,0.32902,0.91952,0.85622,0.65475,0.732,0.47487,1.00643,0.55872,0.97009,0.000589722,0.000589722,0.000589722
61,4055.05,0.50743,0.33478,0.9156,0.82895,0.69044,0.76345,0.49925,1.04342,0.56666,1.00437,0.000585599,0.000585599,0.000585599
62,4122.91,0.49866,0.32417,0.91395,0.84802,0.67907,0.73003,0.48576,0.99362,0.57102,0.96892,0.000581476,0.000581476,0.000581476
63,4188.83,0.49947,0.32712,0.91696,0.90382,0.65503,0.75986,0.50774,0.98683,0.54375,0.96716,0.000577352,0.000577352,0.000577352
64,4256.05,0.49114,0.32303,0.91351,0.81986,0.67869,0.75752,0.49197,1.03994,0.56614,0.97271,0.000573229,0.000573229,0.000573229
65,4322.02,0.49233,0.32258,0.90913,0.81729,0.69372,0.75747,0.49051,0.98304,0.54246,0.95579,0.000569106,0.000569106,0.000569106
66,4391.1,0.48622,0.31609,0.91099,0.75313,0.73119,0.77429,0.50786,0.98617,0.54394,0.95443,0.000564982,0.000564982,0.000564982
67,4456.97,0.48624,0.3233,0.9127,0.82655,0.68315,0.76514,0.5094,1.02252,0.55359,1.00084,0.000560859,0.000560859,0.000560859
68,4524.8,0.48822,0.31795,0.91109,0.78992,0.67447,0.76663,0.49476,1.04387,0.58738,0.97758,0.000556736,0.000556736,0.000556736
69,4591.67,0.48121,0.3146,0.91365,0.83518,0.70666,0.77828,0.50959,1.00086,0.55981,0.98111,0.000552612,0.000552612,0.000552612
70,4659.11,0.48365,0.31392,0.91044,0.82984,0.70668,0.76106,0.51579,0.94871,0.5548,0.96748,0.000548489,0.000548489,0.000548489
71,4726.39,0.48182,0.31596,0.91535,0.87534,0.65294,0.77013,0.50177,1.02605,0.55978,0.98087,0.000544365,0.000544365,0.000544365
72,4793.64,0.47223,0.31675,0.90655,0.83484,0.65998,0.77222,0.50622,1.02177,0.5772,0.9561,0.000540242,0.000540242,0.000540242
73,4860.35,0.47263,0.30945,0.91055,0.73093,0.69488,0.71774,0.48665,1.0101,0.56419,0.98195,0.000536119,0.000536119,0.000536119
74,4926.79,0.46491,0.30588,0.90447,0.88083,0.68255,0.75431,0.51141,0.98277,0.53805,0.95289,0.000531995,0.000531995,0.000531995
75,4993.33,0.47444,0.31326,0.90759,0.83714,0.69021,0.762,0.50162,1.01389,0.55422,0.96632,0.000527872,0.000527872,0.000527872
76,5060.27,0.46408,0.30721,0.90973,0.81615,0.72358,0.75969,0.50548,0.95092,0.54266,0.95458,0.000523749,0.000523749,0.000523749
77,5126.65,0.46575,0.30332,0.90167,0.86817,0.67473,0.77134,0.50296,1.03584,0.58012,0.981,0.000519625,0.000519625,0.000519625
78,5193.15,0.45774,0.29644,0.90074,0.73655,0.7198,0.74268,0.49136,1.01884,0.56248,0.98132,0.000515502,0.000515502,0.000515502
79,5256.46,0.46259,0.30248,0.90753,0.86649,0.70508,0.78383,0.52435,0.98307,0.55673,0.98358,0.000511379,0.000511379,0.000511379
80,5321.27,0.45588,0.29731,0.90523,0.80432,0.71849,0.77669,0.5278,0.96936,0.53169,0.96616,0.000507255,0.000507255,0.000507255
81,5386.13,0.45472,0.29307,0.89991,0.86159,0.68791,0.77618,0.52854,0.97202,0.55712,0.97322,0.000503132,0.000503132,0.000503132
82,5451.49,0.45811,0.30199,0.90577,0.80742,0.6891,0.75883,0.49788,0.9919,0.52516,0.97543,0.000499009,0.000499009,0.000499009
83,5517.83,0.45006,0.29687,0.90036,0.80017,0.69351,0.75709,0.50891,0.99666,0.55914,0.9768,0.000494885,0.000494885,0.000494885
84,5581.53,0.4451,0.29417,0.90025,0.81788,0.67717,0.7433,0.4923,1.00831,0.54162,1.01034,0.000490762,0.000490762,0.000490762
85,5646.45,0.44844,0.2922,0.89302,0.79199,0.73768,0.75624,0.50431,0.94593,0.53294,0.97966,0.000486639,0.000486639,0.000486639
86,5712.94,0.43885,0.29266,0.89357,0.83973,0.69955,0.75191,0.51408,0.96429,0.54233,0.97956,0.000482515,0.000482515,0.000482515
87,5779.99,0.44773,0.2914,0.89726,0.80967,0.72073,0.76573,0.51802,0.96504,0.51733,0.98758,0.000478392,0.000478392,0.000478392
88,5847.21,0.43744,0.28312,0.89395,0.87619,0.69835,0.78167,0.52626,0.95974,0.52382,0.96158,0.000474269,0.000474269,0.000474269
89,5911.12,0.43507,0.28232,0.89692,0.77539,0.73146,0.77084,0.5207,0.9717,0.57363,0.98549,0.000470145,0.000470145,0.000470145
90,5975.8,0.43828,0.28375,0.89629,0.86859,0.66168,0.7336,0.508,0.96122,0.54559,0.9769,0.000466022,0.000466022,0.000466022
91,6040.47,0.43927,0.28867,0.89163,0.85634,0.69259,0.74011,0.51382,0.9677,0.52182,0.99728,0.000461898,0.000461898,0.000461898
92,6104.31,0.43322,0.28347,0.89268,0.83932,0.6675,0.745,0.50514,0.95603,0.53808,0.9607,0.000457775,0.000457775,0.000457775
93,6169.2,0.43067,0.28171,0.89058,0.82486,0.68282,0.733,0.49949,0.96483,0.51354,0.9666,0.000453652,0.000453652,0.000453652
94,6236.46,0.43009,0.28124,0.89111,0.84921,0.68456,0.74276,0.5025,0.95509,0.55516,0.96189,0.000449528,0.000449528,0.000449528
95,6304.51,0.42862,0.28224,0.89254,0.8316,0.68117,0.73997,0.50244,0.96516,0.59315,0.97253,0.000445405,0.000445405,0.000445405
96,6370.51,0.41476,0.27468,0.88933,0.8965,0.68129,0.74818,0.51134,0.95577,0.53723,0.96051,0.000441282,0.000441282,0.000441282
97,6437.9,0.41999,0.2761,0.88659,0.85572,0.68127,0.77464,0.53325,0.92468,0.51599,0.95245,0.000437158,0.000437158,0.000437158
98,6505.39,0.41892,0.27517,0.88886,0.85667,0.712,0.7766,0.51968,0.95432,0.51221,0.96171,0.000433035,0.000433035,0.000433035
99,6572.81,0.41391,0.27178,0.8865,0.82689,0.70463,0.76307,0.51653,0.93351,0.49638,0.9675,0.000428912,0.000428912,0.000428912
100,6638.42,0.41879,0.27552,0.88913,0.86168,0.70492,0.75608,0.52213,0.94581,0.52365,0.95096,0.000424788,0.000424788,0.000424788
101,6705.64,0.41834,0.2703,0.88801,0.84772,0.71003,0.75287,0.50872,0.9723,0.5277,0.97124,0.000420665,0.000420665,0.000420665
102,6772.3,0.41367,0.27023,0.8868,0.86423,0.71113,0.76066,0.50903,0.95412,0.50331,0.97165,0.000416542,0.000416542,0.000416542
103,6839.32,0.40985,0.26167,0.88543,0.84112,0.72171,0.77682,0.52936,0.9278,0.50346,0.96425,0.000412418,0.000412418,0.000412418
104,6905.81,0.40342,0.26314,0.87873,0.87422,0.70753,0.7734,0.53382,0.92378,0.50184,0.97263,0.000408295,0.000408295,0.000408295
105,6973.7,0.39599,0.25818,0.88133,0.84155,0.69629,0.78204,0.53224,0.95637,0.5195,0.96277,0.000404172,0.000404172,0.000404172
106,7040.12,0.39846,0.26194,0.87747,0.85368,0.65108,0.76423,0.51258,0.93705,0.5589,0.96425,0.000400048,0.000400048,0.000400048
107,7108.39,0.40269,0.2665,0.88406,0.81474,0.73641,0.79052,0.53948,0.94256,0.49701,0.95164,0.000395925,0.000395925,0.000395925
108,7174.76,0.40271,0.26419,0.88419,0.87667,0.68446,0.7657,0.51769,0.97026,0.52041,0.96719,0.000391802,0.000391802,0.000391802
109,7241.91,0.39854,0.26046,0.88128,0.80568,0.71999,0.74759,0.51322,0.9607,0.55518,0.95913,0.000387678,0.000387678,0.000387678
110,7309.75,0.40281,0.26467,0.88256,0.78381,0.7205,0.743,0.50707,0.9439,0.5273,0.96398,0.000383555,0.000383555,0.000383555
111,7377.21,0.39129,0.25838,0.88186,0.82487,0.71345,0.76046,0.51088,0.94544,0.52892,0.96779,0.000379431,0.000379431,0.000379431
112,7444.85,0.39287,0.25435,0.8815,0.73214,0.73855,0.76825,0.51774,0.96896,0.52106,0.95699,0.000375308,0.000375308,0.000375308
113,7511.85,0.38787,0.25803,0.87983,0.77492,0.72672,0.74353,0.50893,0.9673,0.52458,0.96614,0.000371185,0.000371185,0.000371185
114,7579.25,0.39455,0.25607,0.88162,0.82635,0.68775,0.75954,0.51703,0.95558,0.51338,0.97034,0.000367061,0.000367061,0.000367061
115,7646.86,0.38942,0.25971,0.87986,0.7738,0.72404,0.76734,0.52363,0.95393,0.49495,0.97856,0.000362938,0.000362938,0.000362938
116,7713.47,0.38277,0.25223,0.8767,0.8476,0.70415,0.76802,0.52676,0.96465,0.53525,0.96668,0.000358815,0.000358815,0.000358815
117,7780.88,0.3866,0.25392,0.88147,0.79288,0.70301,0.73734,0.513,0.96194,0.53412,0.97024,0.000354691,0.000354691,0.000354691
118,7847.77,0.39047,0.26051,0.87901,0.85791,0.68944,0.75753,0.52671,0.94404,0.53324,0.97028,0.000350568,0.000350568,0.000350568
119,7915.35,0.38417,0.25276,0.87647,0.86974,0.70092,0.75346,0.52278,0.94687,0.5042,0.96294,0.000346445,0.000346445,0.000346445
120,7982.31,0.38154,0.24855,0.88038,0.8107,0.69093,0.74635,0.51695,0.9607,0.51301,0.9691,0.000342321,0.000342321,0.000342321
121,8049.39,0.37767,0.25055,0.87939,0.80691,0.70668,0.74833,0.51265,0.94651,0.52166,0.96272,0.000338198,0.000338198,0.000338198
122,8117.64,0.3747,0.24571,0.87109,0.84431,0.69026,0.74154,0.5074,0.93781,0.52661,0.96436,0.000334075,0.000334075,0.000334075
123,8183.75,0.36763,0.23972,0.87245,0.83422,0.70989,0.74877,0.51482,0.94071,0.51843,0.96133,0.000329951,0.000329951,0.000329951
124,8249.99,0.36222,0.24106,0.87204,0.82335,0.69588,0.74597,0.51822,0.95257,0.51593,0.96512,0.000325828,0.000325828,0.000325828
125,8314.77,0.37154,0.24557,0.87282,0.86051,0.69491,0.7398,0.50272,0.96995,0.51986,0.97104,0.000321705,0.000321705,0.000321705
126,8381.7,0.37342,0.24174,0.87438,0.82045,0.70094,0.75303,0.51136,0.97677,0.53808,0.97101,0.000317581,0.000317581,0.000317581
127,8447.2,0.37197,0.24182,0.87663,0.84386,0.71279,0.75329,0.51451,0.96744,0.52402,0.97534,0.000313458,0.000313458,0.000313458
