epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.1049,1.40863,1.56071,1.44497,0.38598,0.40933,0.30801,0.14397,1.97851,2.47374,1.5316,0.000276271,0.000276271,0.000276271
2,153.515,1.43685,1.20722,1.46407,0.5212,0.36082,0.34599,0.16601,1.96444,1.7602,1.44119,0.000551196,0.000551196,0.000551196
3,219.684,1.40519,1.16824,1.4445,0.66946,0.3517,0.40309,0.17389,1.87956,1.61148,1.34476,0.000823372,0.000823372,0.000823372
4,289.739,1.34081,1.03486,1.40347,0.41883,0.48142,0.44982,0.19286,1.93254,1.23348,1.40462,0.00082063,0.00082063,0.00082063
5,357.435,1.28873,0.96762,1.36783,0.56185,0.5927,0.56731,0.24965,1.7445,1.09403,1.25889,0.000816507,0.000816507,0.000816507
6,423.832,1.22315,0.88954,1.32951,0.74894,0.53517,0.59998,0.26404,1.82549,1.09605,1.32171,0.000812383,0.000812383,0.000812383
7,490.301,1.19808,0.8343,1.31848,0.65843,0.50418,0.44441,0.1744,1.97643,1.3517,1.35154,0.00080826,0.00080826,0.00080826
8,555.844,1.16209,0.80954,1.29396,0.74794,0.65086,0.68514,0.34322,1.55201,0.93024,1.21149,0.000804137,0.000804137,0.000804137
9,623.716,1.13713,0.78218,1.28809,0.71797,0.58772,0.62756,0.29493,1.63588,1.09372,1.17992,0.000800013,0.000800013,0.000800013
10,688.952,1.1189,0.75141,1.27081,0.79855,0.60486,0.64275,0.27861,1.7344,0.93166,1.27714,0.00079589,0.00079589,0.00079589
11,758.003,1.08966,0.73251,1.24599,0.70767,0.62693,0.64838,0.31276,1.6498,0.88369,1.18993,0.000791767,0.000791767,0.000791767
12,823.866,1.07164,0.71757,1.24015,0.69839,0.62444,0.62682,0.33969,1.49147,0.92175,1.11548,0.000787643,0.000787643,0.000787643
13,892.983,1.03415,0.6891,1.2106,0.72354,0.62571,0.65182,0.32597,1.54803,0.86765,1.14629,0.00078352,0.00078352,0.00078352
14,958.652,1.03143,0.68972,1.21568,0.6807,0.62634,0.64765,0.34265,1.57661,0.85527,1.15346,0.000779396,0.000779396,0.000779396
15,1026.87,1.01645,0.65883,1.19413,0.76722,0.61464,0.65338,0.33312,1.49305,0.83353,1.17531,0.000775273,0.000775273,0.000775273
16,1093.15,1.0051,0.64875,1.19581,0.66576,0.61293,0.65864,0.33397,1.66615,0.87395,1.21451,0.00077115,0.00077115,0.00077115
17,1161.1,0.98116,0.63054,1.18792,0.65712,0.61124,0.62804,0.29877,1.6881,0.85334,1.15177,0.000767026,0.000767026,0.000767026
18,1226.91,0.98428,0.62474,1.18644,0.7315,0.59871,0.66414,0.36034,1.5091,0.80657,1.15032,0.000762903,0.000762903,0.000762903
19,1295.39,0.96222,0.618,1.17762,0.75486,0.66935,0.68013,0.36354,1.54023,0.85408,1.176,0.00075878,0.00075878,0.00075878
20,1363.06,0.94939,0.59731,1.15765,0.74623,0.69371,0.73085,0.38211,1.41623,0.74494,1.12906,0.000754656,0.000754656,0.000754656
21,1430.85,0.94262,0.59568,1.15999,0.77343,0.58601,0.6718,0.36265,1.50568,0.80049,1.1414,0.000750533,0.000750533,0.000750533
22,1498.75,0.91782,0.57418,1.15055,0.85279,0.63122,0.70733,0.3782,1.34714,0.7063,1.10763,0.00074641,0.00074641,0.00074641
23,1566.3,0.91844,0.58116,1.14548,0.82202,0.64197,0.71014,0.39534,1.37072,0.73417,1.08845,0.000742286,0.000742286,0.000742286
24,1633.85,0.92614,0.57536,1.14898,0.83442,0.62964,0.69593,0.36296,1.4745,0.74052,1.12066,0.000738163,0.000738163,0.000738163
25,1700.78,0.89285,0.56108,1.13333,0.83252,0.6459,0.69012,0.3832,1.38931,0.75733,1.10013,0.00073404,0.00073404,0.00073404
26,1768.29,0.89144,0.55608,1.12236,0.81283,0.64532,0.71228,0.39454,1.41878,0.73604,1.15024,0.000729916,0.000729916,0.000729916
27,1835.02,0.8936,0.5569,1.1339,0.8244,0.68055,0.73427,0.40127,1.36912,0.73187,1.09167,0.000725793,0.000725793,0.000725793
28,1901.49,0.89128,0.54657,1.12038,0.84642,0.63201,0.71314,0.37541,1.33847,0.72903,1.08524,0.00072167,0.00072167,0.00072167
29,1967.64,0.86263,0.53879,1.10979,0.86253,0.63751,0.71424,0.39895,1.32772,0.73487,1.08465,0.000717546,0.000717546,0.000717546
30,2034.29,0.84313,0.52468,1.10731,0.80721,0.64859,0.71976,0.38701,1.38288,0.73439,1.1051,0.000713423,0.000713423,0.000713423
31,2101.15,0.85707,0.53416,1.10901,0.83026,0.7157,0.74197,0.41862,1.30019,0.68922,1.07143,0.000709299,0.000709299,0.000709299
32,2167.02,0.85394,0.52962,1.10558,0.81698,0.72647,0.74835,0.43503,1.25452,0.66864,1.05501,0.000705176,0.000705176,0.000705176
33,2232.63,0.85453,0.52158,1.10875,0.842,0.66711,0.73767,0.4089,1.31895,0.71318,1.12343,0.000701053,0.000701053,0.000701053
34,2300.86,0.83311,0.51859,1.09425,0.82058,0.71085,0.75467,0.41674,1.34265,0.72705,1.05356,0.000696929,0.000696929,0.000696929
35,2369.09,0.8211,0.50976,1.09117,0.81365,0.67189,0.73345,0.41206,1.34892,0.67157,1.10053,0.000692806,0.000692806,0.000692806
36,2435.31,0.82371,0.50076,1.09469,0.78384,0.64885,0.70844,0.41933,1.25488,0.68498,1.08446,0.000688683,0.000688683,0.000688683
37,2502.51,0.82407,0.4994,1.09644,0.8415,0.67323,0.74173,0.44185,1.28776,0.67218,1.10282,0.000684559,0.000684559,0.000684559
38,2568.9,0.82255,0.50492,1.0998,0.79791,0.65524,0.71697,0.39908,1.44014,0.74586,1.17707,0.000680436,0.000680436,0.000680436
39,2635.63,0.80809,0.49516,1.08645,0.87181,0.65318,0.735,0.41993,1.29346,0.71155,1.09889,0.000676313,0.000676313,0.000676313
40,2701.12,0.79303,0.48813,1.08263,0.84032,0.65473,0.72825,0.41878,1.22802,0.67411,1.04879,0.000672189,0.000672189,0.000672189
