epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.0086,1.13478,1.28229,1.23092,0.41808,0.34672,0.29913,0.14146,1.92847,3.38705,1.51379,0.0671658,0.000331658,0.000331658
2,156.701,1.10303,0.99147,1.21663,0.30404,0.3625,0.30243,0.128,1.96672,2.34902,1.44023,0.0341592,0.000658408,0.000658408
3,220.943,1.06155,0.93189,1.19912,0.56894,0.33646,0.37059,0.20193,1.68628,1.48459,1.20693,0.00114606,0.000978558,0.000978558
4,282.601,1.02965,0.86551,1.16933,0.78036,0.41047,0.50528,0.25129,1.66089,1.4514,1.19497,0.0009703,0.0009703,0.0009703
5,344.305,0.99824,0.8014,1.15044,0.43159,0.53231,0.50729,0.26632,1.45508,1.10042,1.13665,0.0009604,0.0009604,0.0009604
6,410.731,0.94419,0.74857,1.12796,0.50849,0.60453,0.57777,0.29728,1.50749,1.09909,1.17182,0.0009505,0.0009505,0.0009505
7,479.347,0.89887,0.68962,1.10601,0.7345,0.55303,0.60847,0.33035,1.52119,1.00276,1.10642,0.0009406,0.0009406,0.0009406
8,545.601,0.87572,0.67304,1.08702,0.76502,0.63595,0.66514,0.36339,1.36738,0.94388,1.06813,0.0009307,0.0009307,0.0009307
9,611.458,0.84753,0.66208,1.08036,0.72601,0.6191,0.68029,0.36759,1.35999,0.84136,1.05035,0.0009208,0.0009208,0.0009208
10,673.636,0.83701,0.6195,1.07322,0.70286,0.60519,0.65888,0.36201,1.43601,0.87243,1.07089,0.0009109,0.0009109,0.0009109
11,734.923,0.83294,0.60238,1.06415,0.75458,0.60014,0.68239,0.36781,1.41193,0.79913,1.09345,0.000901,0.000901,0.000901
12,799.028,0.8111,0.58311,1.05759,0.7235,0.6299,0.68162,0.40279,1.25935,0.80128,1.04173,0.0008911,0.0008911,0.0008911
13,861.702,0.7745,0.56941,1.03314,0.71142,0.60588,0.67353,0.39225,1.23817,0.78625,1.06476,0.0008812,0.0008812,0.0008812
14,926.616,0.79141,0.58008,1.0442,0.66396,0.69008,0.68599,0.40813,1.19403,0.77414,1.02316,0.0008713,0.0008713,0.0008713
15,988.069,0.76375,0.55591,1.02878,0.77099,0.65594,0.68303,0.39214,1.25704,0.74289,1.01072,0.0008614,0.0008614,0.0008614
16,1050.8,0.75788,0.54353,1.03231,0.6433,0.64777,0.66111,0.3774,1.28712,0.76074,1.03632,0.0008515,0.0008515,0.0008515
17,1112.53,0.73388,0.52285,1.02321,0.73304,0.67144,0.70483,0.42218,1.17118,0.69012,1.00635,0.0008416,0.0008416,0.0008416
18,1175.32,0.73332,0.53359,1.01814,0.70302,0.63077,0.68013,0.39728,1.26758,0.76715,1.02912,0.0008317,0.0008317,0.0008317
19,1236.84,0.70782,0.50163,1.01053,0.84318,0.64017,0.71448,0.45048,1.16967,0.67487,1.01991,0.0008218,0.0008218,0.0008218
20,1299.37,0.71938,0.50609,1.00893,0.69373,0.68908,0.71903,0.45198,1.13221,0.67765,0.99345,0.0008119,0.0008119,0.0008119
21,1360.84,0.71137,0.4969,1.00657,0.76773,0.65517,0.72616,0.43806,1.21249,0.75873,1.05527,0.000802,0.000802,0.000802
22,1422.3,0.70334,0.49063,1.00973,0.76825,0.6915,0.72625,0.4372,1.13897,0.6534,0.99538,0.0007921,0.0007921,0.0007921
23,1483.5,0.69725,0.4798,1.00512,0.79348,0.64191,0.69794,0.45526,1.14484,0.65393,1.02136,0.0007822,0.0007822,0.0007822
24,1545.36,0.69253,0.4822,0.99858,0.78116,0.6674,0.70695,0.43519,1.17744,0.66876,0.98793,0.0007723,0.0007723,0.0007723
25,1606.72,0.66783,0.46933,0.98955,0.78497,0.64064,0.71392,0.42518,1.25365,0.74596,1.03795,0.0007624,0.0007624,0.0007624
26,1668.4,0.68027,0.47205,0.98872,0.73697,0.66428,0.70972,0.42727,1.1526,0.67198,1.02494,0.0007525,0.0007525,0.0007525
27,1729.56,0.66165,0.45897,0.98858,0.82317,0.6796,0.72141,0.43213,1.20493,0.6744,1.03734,0.0007426,0.0007426,0.0007426
28,1794.52,0.66384,0.45456,0.98388,0.85071,0.67324,0.73913,0.4515,1.16821,0.65189,1.04487,0.0007327,0.0007327,0.0007327
29,1855.71,0.64072,0.45312,0.97525,0.86149,0.68256,0.7623,0.48028,1.10859,0.59886,1.01675,0.0007228,0.0007228,0.0007228
30,1917.16,0.63139,0.4282,0.96876,0.81029,0.6749,0.72649,0.44074,1.09269,0.62224,0.99429,0.0007129,0.0007129,0.0007129
31,1978.87,0.64053,0.44385,0.97342,0.82218,0.71005,0.71998,0.43717,1.14559,0.63341,1.01604,0.000703,0.000703,0.000703
32,2040.2,0.62454,0.43103,0.96907,0.8514,0.67444,0.74369,0.46316,1.09708,0.63629,1.01016,0.0006931,0.0006931,0.0006931
33,2101.79,0.62982,0.43161,0.97051,0.82235,0.67263,0.73921,0.45922,1.1246,0.64721,1.01841,0.0006832,0.0006832,0.0006832
34,2163.18,0.61597,0.42824,0.96379,0.87416,0.67797,0.75173,0.48038,1.14069,0.6388,0.99816,0.0006733,0.0006733,0.0006733
35,2224.66,0.62107,0.41868,0.96916,0.8564,0.68947,0.74872,0.45602,1.16714,0.65236,0.99345,0.0006634,0.0006634,0.0006634
36,2286.04,0.60916,0.4123,0.96631,0.7921,0.70959,0.75386,0.47844,1.09272,0.58958,0.99607,0.0006535,0.0006535,0.0006535
37,2349.8,0.60456,0.41604,0.96583,0.81553,0.63536,0.71381,0.4576,1.10136,0.63059,0.99126,0.0006436,0.0006436,0.0006436
38,2411.32,0.60599,0.41497,0.97034,0.78547,0.70904,0.76302,0.48029,1.09771,0.6587,1.01003,0.0006337,0.0006337,0.0006337
39,2472.81,0.59731,0.40739,0.95176,0.82288,0.70638,0.75792,0.48224,1.03624,0.62991,0.96569,0.0006238,0.0006238,0.0006238
40,2534.44,0.59198,0.40217,0.95321,0.83869,0.73183,0.76744,0.47389,1.09429,0.60876,0.99852,0.0006139,0.0006139,0.0006139
41,2595.26,0.57854,0.39702,0.9572,0.71805,0.72091,0.74734,0.46598,1.14128,0.63331,1.01823,0.000604,0.000604,0.000604
42,2656.92,0.59724,0.3931,0.95026,0.84837,0.71451,0.76895,0.4876,1.0522,0.58289,1.00338,0.0005941,0.0005941,0.0005941
43,2718.16,0.56447,0.38028,0.95109,0.8736,0.66687,0.75766,0.47993,1.14129,0.63754,1.01221,0.0005842,0.0005842,0.0005842
44,2780.05,0.57245,0.38391,0.94761,0.87266,0.6867,0.76391,0.49171,1.09925,0.61264,1.02538,0.0005743,0.0005743,0.0005743
45,2841.61,0.57185,0.38754,0.9449,0.87459,0.69493,0.76517,0.5127,1.04824,0.60919,0.99909,0.0005644,0.0005644,0.0005644
46,2903.31,0.56121,0.38349,0.94965,0.84569,0.65349,0.75624,0.48507,1.05825,0.62987,0.97208,0.0005545,0.0005545,0.0005545
47,2967.52,0.55689,0.37579,0.93974,0.86175,0.69882,0.76963,0.48025,1.02522,0.58319,0.96223,0.0005446,0.0005446,0.0005446
48,3028.48,0.54863,0.37077,0.93839,0.79157,0.75855,0.77213,0.50037,1.0486,0.58831,0.9919,0.0005347,0.0005347,0.0005347
49,3089.89,0.54886,0.37407,0.94258,0.8107,0.69117,0.7572,0.48502,1.03227,0.58259,0.98071,0.0005248,0.0005248,0.0005248
50,3151.51,0.54271,0.36396,0.93526,0.88422,0.70037,0.76546,0.4949,1.03302,0.60348,0.9818,0.0005149,0.0005149,0.0005149
