epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0622,0.69404,0.47581,0.97418,0.70812,0.58317,0.66318,0.38805,1.16785,0.66155,0.92217,0.000276271,0.000276271,0.000276271
2,90.4742,0.68066,0.45926,0.96637,0.73972,0.59062,0.63573,0.38641,1.12738,0.6833,0.91505,0.00054297,0.00054297,0.00054297
3,130.923,0.67672,0.45801,0.96273,0.77155,0.56144,0.66101,0.38003,1.22454,0.70733,0.96138,0.000798673,0.000798673,0.000798673
4,171.51,0.65814,0.44718,0.95365,0.75132,0.55471,0.6327,0.38418,1.19413,0.71774,0.93177,0.00078352,0.00078352,0.00078352
5,212.993,0.67088,0.44973,0.95325,0.80325,0.612,0.6954,0.42685,1.17207,0.67226,0.91694,0.000767026,0.000767026,0.000767026
6,253.474,0.67413,0.45596,0.96235,0.83499,0.56526,0.69079,0.42777,1.13889,0.63474,0.90567,0.000750533,0.000750533,0.000750533
7,293.15,0.6653,0.44383,0.95821,0.7634,0.66972,0.712,0.40349,1.23708,0.69299,0.93622,0.00073404,0.00073404,0.00073404
8,336.577,0.66119,0.44152,0.95239,0.82165,0.6328,0.69966,0.42914,1.15779,0.60697,0.9168,0.000717546,0.000717546,0.000717546
9,379.893,0.64163,0.43782,0.95504,0.79473,0.65243,0.70909,0.42222,1.19794,0.62788,0.92112,0.000701053,0.000701053,0.000701053
10,419.029,0.63105,0.41525,0.9457,0.7322,0.6682,0.72209,0.4372,1.14774,0.61674,0.90807,0.000684559,0.000684559,0.000684559
11,458.159,0.62377,0.40896,0.9412,0.80772,0.6361,0.71787,0.43517,1.15431,0.57967,0.90294,0.000668066,0.000668066,0.000668066
12,498.794,0.60481,0.39118,0.93374,0.714,0.69618,0.71109,0.44833,1.04438,0.60867,0.91632,0.000651573,0.000651573,0.000651573
13,539.903,0.59191,0.39386,0.92866,0.81592,0.60446,0.708,0.4161,1.11946,0.58557,0.921,0.000635079,0.000635079,0.000635079
14,583.25,0.58974,0.38839,0.92504,0.78786,0.67781,0.72036,0.45378,1.08413,0.5932,0.90595,0.000618586,0.000618586,0.000618586
15,628.842,0.57239,0.37724,0.91629,0.81023,0.6663,0.73792,0.45187,1.0602,0.5736,0.9103,0.000602092,0.000602092,0.000602092
16,674.656,0.57516,0.37096,0.92001,0.80213,0.67853,0.73512,0.46359,1.04421,0.57649,0.89155,0.000585599,0.000585599,0.000585599
17,716.024,0.56232,0.36455,0.91646,0.80877,0.6803,0.75298,0.47333,1.08238,0.55592,0.91391,0.000569106,0.000569106,0.000569106
18,757.627,0.55708,0.36759,0.9184,0.83316,0.6652,0.74883,0.46155,1.0886,0.56289,0.91431,0.000552612,0.000552612,0.000552612
19,799.546,0.54324,0.35048,0.91392,0.81685,0.685,0.75799,0.47866,1.07245,0.55494,0.91431,0.000536119,0.000536119,0.000536119
20,841.867,0.54988,0.35181,0.90993,0.87289,0.71847,0.76956,0.48721,1.0246,0.54258,0.89852,0.000519625,0.000519625,0.000519625
21,885.759,0.54056,0.34196,0.91284,0.86582,0.65133,0.74132,0.45694,1.05269,0.579,0.90504,0.000503132,0.000503132,0.000503132
22,927.705,0.52144,0.33411,0.90384,0.84507,0.64106,0.75612,0.47564,1.05925,0.5443,0.90688,0.000486639,0.000486639,0.000486639
23,970.169,0.52497,0.33386,0.90662,0.87951,0.67386,0.7585,0.48023,1.05817,0.53472,0.90084,0.000470145,0.000470145,0.000470145
24,1012.23,0.51995,0.33413,0.90487,0.9012,0.66828,0.75824,0.48072,1.08657,0.54111,0.9153,0.000453652,0.000453652,0.000453652
25,1053.66,0.5064,0.32623,0.89904,0.86599,0.67763,0.7395,0.4624,1.10012,0.56152,0.92163,0.000437158,0.000437158,0.000437158
26,1095.45,0.51019,0.32461,0.89598,0.87494,0.67669,0.76567,0.48651,1.01911,0.52431,0.89693,0.000420665,0.000420665,0.000420665
27,1137.97,0.49068,0.31682,0.8948,0.87717,0.68242,0.75453,0.48273,1.04789,0.54828,0.90126,0.000404172,0.000404172,0.000404172
28,1182.7,0.49806,0.31539,0.8948,0.87392,0.68337,0.75017,0.46788,1.05756,0.53547,0.90004,0.000387678,0.000387678,0.000387678
29,1226.1,0.48199,0.31061,0.89185,0.90467,0.67829,0.74387,0.4831,1.00751,0.51717,0.89754,0.000371185,0.000371185,0.000371185
30,1270.52,0.46604,0.29828,0.88305,0.90615,0.66752,0.75409,0.46859,1.02735,0.52404,0.90577,0.000354691,0.000354691,0.000354691
31,1315.28,0.47458,0.30521,0.88772,0.91791,0.65131,0.76014,0.47918,1.00581,0.52575,0.89365,0.000338198,0.000338198,0.000338198
32,1358.62,0.45972,0.29241,0.88451,0.88569,0.65237,0.74901,0.47932,0.99741,0.54643,0.91182,0.000321705,0.000321705,0.000321705
33,1401.69,0.46232,0.29761,0.88631,0.88393,0.6449,0.74965,0.47884,1.02084,0.50528,0.89335,0.000305211,0.000305211,0.000305211
34,1445.19,0.45723,0.29077,0.88444,0.88476,0.68103,0.74944,0.48991,0.99996,0.49539,0.90594,0.000288718,0.000288718,0.000288718
35,1488.34,0.45824,0.28693,0.88327,0.87814,0.68298,0.75413,0.4844,1.03038,0.52492,0.91386,0.000272224,0.000272224,0.000272224
36,1532.03,0.4417,0.28318,0.8804,0.85144,0.68046,0.73888,0.47235,1.00223,0.50567,0.91291,0.000255731,0.000255731,0.000255731
37,1576.37,0.4437,0.28095,0.88275,0.88835,0.68411,0.76207,0.49909,0.98204,0.5112,0.89543,0.000239238,0.000239238,0.000239238
38,1620.75,0.43927,0.27819,0.8843,0.88285,0.69216,0.76049,0.50683,1.00378,0.50106,0.90233,0.000222744,0.000222744,0.000222744
39,1663.4,0.42631,0.27412,0.8749,0.88701,0.67054,0.76234,0.49983,1.0048,0.51176,0.90175,0.000206251,0.000206251,0.000206251
40,1708.18,0.42455,0.27115,0.87083,0.81109,0.69161,0.75379,0.49332,1.0156,0.52796,0.90984,0.000189757,0.000189757,0.000189757
41,1769.8,0.45388,0.26856,0.85064,0.92597,0.6425,0.7478,0.48752,1.00573,0.51976,0.90153,0.000173264,0.000173264,0.000173264
42,1812.98,0.44476,0.25915,0.84641,0.87883,0.65832,0.74918,0.49102,0.99381,0.51316,0.91084,0.000156771,0.000156771,0.000156771
43,1855.7,0.43726,0.25318,0.84319,0.85091,0.70004,0.75161,0.49077,1.00419,0.51196,0.90975,0.000140277,0.000140277,0.000140277
44,1900.9,0.4288,0.24868,0.84095,0.84566,0.69193,0.75828,0.49375,0.99227,0.49236,0.90653,0.000123784,0.000123784,0.000123784
45,1943.56,0.42125,0.24877,0.84107,0.83935,0.67188,0.76273,0.50275,0.99456,0.49439,0.90301,0.00010729,0.00010729,0.00010729
46,1986.55,0.41394,0.24342,0.83734,0.82154,0.69348,0.77054,0.50524,1.00115,0.49797,0.9077,9.0797e-05,9.0797e-05,9.0797e-05
47,2029.28,0.40762,0.2409,0.83766,0.86448,0.67981,0.75903,0.50937,0.98063,0.4941,0.90647,7.43036e-05,7.43036e-05,7.43036e-05
48,2072.63,0.40728,0.23719,0.83517,0.86709,0.67886,0.76438,0.50577,1.01291,0.50161,0.91073,5.78102e-05,5.78102e-05,5.78102e-05
49,2115.01,0.39951,0.23384,0.83608,0.87142,0.68103,0.76643,0.5076,0.98943,0.49839,0.90698,4.13168e-05,4.13168e-05,4.13168e-05
50,2157.67,0.39501,0.23314,0.83131,0.86618,0.68362,0.76133,0.50424,0.99554,0.49505,0.91041,2.48234e-05,2.48234e-05,2.48234e-05
